Acq. time (s)=	10
Accumulations=	15
Range (cm-¹)=	150...3700
Windows=	17
Autofocus=	Off
AutoExposure=	Off
Spike filter=	Multiple accum.
Delay time (s)=	0
Binning=	1
Readout mode=	Signal
DeNoise=	Standard
ICS correction=	On
Dark correction=	Off
Inst. Process=	On
Instrument=	LabRAM S3000
Detector=	Synapse
Objective=	x100
Grating=	1800
ND Filter=	100%
Laser (nm)=	632.81 
Slit=	100.021
Hole=	1000.03
Microscope=	Principal
StageXY=	Märzhauser
StageZ=	Märzhauser
238.555	0.374978
238.885	0.407794
239.216	0.425109
239.547	0.452979
239.877	0.40577
240.208	0.342856
240.538	0.30106
240.869	0.266195
241.2	0.244104
241.53	0.200402
241.861	0.167922
242.19	0.118224
242.521	0.101826
242.851	0.0760266
243.182	0.0517868
243.511	0.0160503
243.842	-0.000313009
244.172	-0.012419
244.503	-0.0038143
244.832	0.0293405
245.163	0.0671456
245.492	0.10512
245.823	0.14151
246.153	0.203596
246.484	0.180368
246.813	0.15363
247.144	0.0931357
247.473	0.0191359
247.804	-0.0703449
248.133	-0.0871816
248.462	-0.0938661
248.793	-0.0916915
249.122	-0.0811616
249.453	-0.0483651
249.782	0.00212023
250.113	0.0488131
250.442	0.0956114
250.772	0.145603
251.102	0.202618
251.431	0.268956
251.761	0.351271
252.091	0.481361
252.42	0.519424
252.749	0.518656
253.08	0.531638
253.409	0.527774
253.738	0.519561
254.069	0.528072
254.398	0.519893
254.727	0.53268
255.057	0.566043
255.386	0.585862
255.715	0.621443
256.046	0.684139
256.375	0.756212
256.704	0.778421
257.032	0.802763
257.363	0.843752
257.692	0.863829
258.021	0.889686
258.35	0.871152
258.68	0.869477
259.009	0.876566
259.338	0.886011
259.666	0.902047
259.997	0.907301
260.325	0.930297
260.654	0.955299
260.983	1.00794
261.312	1.08521
261.642	1.18027
261.971	1.25449
262.299	1.29165
262.628	1.33597
262.957	1.34963
263.285	1.32217
263.614	1.28131
263.944	1.2382
264.273	1.21784
264.601	1.21434
264.93	1.24229
265.259	1.31274
265.587	1.43387
265.916	1.53193
266.244	1.63489
266.573	1.73634
266.903	1.86102
267.231	2.02047
267.56	2.13332
267.888	2.14136
268.217	2.1267
268.545	1.92368
268.874	1.84367
269.202	1.86389
269.53	1.88096
269.859	1.90217
270.187	1.90471
270.515	1.90796
270.844	1.92107
271.172	1.94085
271.5	1.95508
271.829	1.98394
272.157	2.00129
272.485	2.05315
272.814	2.10544
273.142	2.15813
273.47	2.22276
273.798	2.30292
274.126	2.40465
274.455	2.51304
274.783	2.60378
275.11	2.68532
275.438	2.75468
275.766	2.80895
276.094	2.86942
276.422	2.93465
276.75	2.98548
277.078	3.02209
277.406	3.02879
277.734	3.03274
278.061	3.00553
278.389	2.92637
278.717	2.91493
279.045	2.97447
279.373	3.01464
279.701	3.07243
280.027	3.13857
280.355	3.19345
280.683	3.26016
281.011	3.35294
281.339	3.44619
281.667	3.53424
281.993	3.61348
282.321	3.67439
282.649	3.69361
282.977	3.68901
283.303	3.66073
283.631	3.60543
283.959	3.54285
284.287	3.5194
284.613	3.57378
284.941	3.70406
285.268	3.83634
285.596	3.82296
285.922	3.83943
286.25	3.79482
286.578	3.75776
286.904	3.75234
287.232	3.75118
287.559	3.7263
287.885	3.69534
288.213	3.69036
288.541	3.72151
288.867	3.77018
289.194	3.81522
289.522	3.83692
289.848	3.82968
290.176	3.84438
290.503	3.86639
290.829	3.93012
291.157	4.00837
291.483	4.09893
291.81	4.20144
292.137	4.3567
292.463	4.48123
292.791	4.5901
293.117	4.65854
293.444	4.68874
293.772	4.71737
294.097	4.75847
294.425	4.80356
294.751	4.89077
295.078	4.94986
295.404	4.95698
295.731	4.92241
296.057	4.87814
296.384	4.86309
296.71	4.84057
297.037	4.87758
297.363	4.9298
297.69	4.99883
298.016	5.06797
298.343	5.15454
298.669	5.26753
298.996	5.36934
299.322	5.44891
299.649	5.53696
299.974	5.63337
300.3	5.73224
300.627	5.79596
300.953	5.83079
301.28	5.86773
301.605	5.92888
301.931	5.97623
