Acq. time (s)=	15
Accumulations=	20
Range=	Off
Autofocus=	Off
AutoExposure=	Off
Spike filter=	Multiple accum.
Delay time (s)=	0
Binning=	1
Readout mode=	Signal
DeNoise=	Standard
ICS correction=	On
Dark correction=	Off
Inst. Process=	On
Instrument=	LabRAM S3000
Detector=	Synapse
Objective=	x100
Grating=	1800
ND Filter=	1%
Laser (nm)=	632.81 
Spectro (cm-¹)=	-0.321891
Slit=	100.021
Hole=	1000.03
Microscope=	Principal
StageXY=	Märzhauser
StageZ=	Märzhauser
X (µm)=	4598.8
Y (µm)=	15569
Z (µm)=	-0.1
Project=	
Sample=	
Site=	
Title=	Si_ref_begin
Remark=	
Date=	17.06.2019 10:23
Operator=	
Acquired=	17.06.2019 10:23:09
Base:Sub=	17.06.2019 10:23:20
-178.346	-0.144458
-177.991	-0.112827
-177.635	-0.0826193
-177.28	-0.0535173
-176.925	-0.026321
-176.569	-0.00950516
-176.214	0.0291191
-175.859	0.0346603
-175.503	0.0427328
-175.148	0.0460105
-174.793	0.0507616
-174.438	0.0524291
-174.082	0.0548158
-173.727	0.0561974
-173.372	0.0569621
-173.018	0.0567316
-172.663	0.0592211
-172.308	0.0561396
-171.953	0.0580137
-171.598	0.0589829
-171.243	0.0670793
-170.888	0.0778003
-170.533	0.0872789
-170.178	0.105401
-169.824	0.122245
-169.469	0.141975
-169.114	0.155556
-168.759	0.166979
-168.404	0.174168
-168.049	0.178365
-167.694	0.173294
-167.341	0.143925
-166.986	0.114631
-166.631	0.0884211
-166.276	0.056654
-165.921	0.0259987
-165.568	0.00225962
-165.213	-0.0313406
-164.858	-0.0423459
-164.504	-0.0392227
-164.15	-0.0341362
-163.796	-0.024013
-163.441	0.00284533
-163.086	0.0131101
-162.733	0.0336121
-162.378	0.0321716
-162.024	0.0302406
-161.669	0.0209653
-161.316	0.0115104
-160.961	-0.000388721
-160.607	-0.0152411
-160.254	-0.0271165
-159.899	-0.0388438
-159.544	-0.0509226
-159.19	-0.0610305
-158.837	-0.0726102
-158.482	-0.0770659
-158.128	-0.084916
-157.775	-0.0928656
-157.42	-0.100372
-157.066	-0.10823
-156.713	-0.125896
-156.359	-0.128267
-156.006	-0.1308
-155.651	-0.136672
-155.297	-0.130235
-154.944	-0.123151
-154.59	-0.113109
-154.237	-0.101564
-153.883	-0.0888733
-153.529	-0.07677
-153.176	-0.0630022
-152.821	-0.0500791
-152.469	-0.0361226
-152.115	-0.0227295
-151.76	-0.00887284
-151.408	0.00470777
-151.053	0.0181822
-150.701	0.031534
-150.347	0.0444347
-149.994	0.0575473
-149.64	0.0646329
-149.287	0.0747077
-148.933	0.0837784
-148.581	0.0918701
-148.227	0.103228
-147.874	0.107234
-147.52	0.108267
-147.168	0.110886
-146.814	0.116105
-146.461	0.110808
